country,founded,id,industry,linkedin_url,locality,name,region,size,website
malaysia,2020,vivaciouskitchen,food & beverages,linkedin.com/company/vivaciouskitchen,petaling jaya,vivacious kitchen,selangor,1-10,vivaciouskitchen.beepit.com
malaysia,2020,superwildfood-1,food & beverages,linkedin.com/company/superwildfood-1,petaling jaya,wild food,selangor,1-10,superwildfood.com
malaysia,2019,rage-coffee,food & beverages,linkedin.com/company/rage-coffee,kuala lumpur,rage coffee,kuala lumpur,1-10,drinkrage.com
malaysia,2019,halnex,food & beverages,linkedin.com/company/halnex,bandar baru bangi,halnex sdn bhd,selangor,1-10,halnex.com
malaysia,2019,rebel-pasta,food & beverages,linkedin.com/company/rebel-pasta,petaling jaya,rebel pasta,selangor,11-50,rebelpasta.my
malaysia,2019,coffeestarmy,food & beverages,linkedin.com/company/coffeestarmy,kuala lumpur,coffee star,kuala lumpur,1-10,coffeestar.my
malaysia,2019,eatlah,food & beverages,linkedin.com/company/eatlah,shah alam,eatlah,selangor,1-10,yummy.com.my
malaysia,2019,eatcalli,food & beverages,linkedin.com/company/eatcalli,petaling jaya,calli,selangor,1-10,eatcalli.com
malaysia,2019,eatlah-co,food & beverages,linkedin.com/company/eatlah-co,petaling jaya,eatlah.co,selangor,1-10,eatlah.co
malaysia,2018,kong-restobar,food & beverages,linkedin.com/company/kong-restobar,subang jaya,kong restobar,selangor,1-10,kong.com.my
malaysia,2018,eatfunmy,food & beverages,linkedin.com/company/eatfunmy,kuala lumpur,eatfun malaysia,kuala lumpur,11-50,eatfun.my
malaysia,2018,jollibeemalaysia,food & beverages,linkedin.com/company/jollibeemalaysia,kuala lumpur,jollibee malaysia,kuala lumpur,11-50,
malaysia,2018,uniqorn-dessert,food & beverages,linkedin.com/company/uniqorn-dessert,subang jaya,uniqorn,selangor,1-10,facebook.com/pg/uniqorn.dessert
malaysia,2018,burgerbudget,food & beverages,linkedin.com/company/burgerbudget,klang,burger budget,selangor,1-10,burger-budget.business.site
malaysia,2018,cultiveat,food & beverages,linkedin.com/company/cultiveat,petaling jaya,cultiveat,selangor,11-50,cultiveat.co
malaysia,2018,lololdelivery,food & beverages,linkedin.com/company/lololdelivery,batu berendam,lolol sdn bhd,melaka,11-50,facebook.com/lololplatform
malaysia,2018,district9cafe,food & beverages,linkedin.com/company/district9cafe,johor bahru,district 9 cafe bar (m) sdn. bhd.,johor,11-50,facebook.com/district9bistro
malaysia,2017,kind-kones,food & beverages,linkedin.com/company/kind-kones,kuala lumpur,kind kones,kuala lumpur,11-50,kindkones.com
malaysia,2017,mamasab-international-sdn-bhd,food & beverages,linkedin.com/company/mamasab-international-sdn-bhd,petaling jaya,mamasab international sdn. bhd.,selangor,51-200,mamasab.com
malaysia,2017,foodtimasia,food & beverages,linkedin.com/company/foodtimasia,cyberjaya,foodtime,selangor,1-10,foodtime.asia
malaysia,2017,uncle-ali-the-fishmonger,food & beverages,linkedin.com/company/uncle-ali-the-fishmonger,shah alam,uncle ali the fishmonger,selangor,1-10,facebook.com/pages/uncle-ali-the-fishmonger/1418521841504159
malaysia,2017,hometasteofficial,food & beverages,linkedin.com/company/hometasteofficial,petaling jaya,hometaste official,selangor,1-10,hometaste.com.my
malaysia,2017,thegreatfun,food & beverages,linkedin.com/company/thegreatfun,petaling jaya,the great fundamentals,selangor,201-500,
malaysia,2017,briyani-on-wheels,food & beverages,linkedin.com/company/briyani-on-wheels,kuala lumpur,briyani on wheels,kuala lumpur,1-10,m.facebook.com/briyanionwheels8588
malaysia,2017,food-connects,food & beverages,linkedin.com/company/food-connects,cyberjaya,food-connects,selangor,1-10,food-connects.com
malaysia,2017,sweetoothmy,food & beverages,linkedin.com/company/sweetoothmy,shah alam,sweet tooth food & beverage sdn bhd,selangor,1-10,sweetooth.asia
malaysia,2017,the-baking-firm,food & beverages,linkedin.com/company/the-baking-firm,shah alam,the baking firm,selangor,1-10,
malaysia,2017,thedalucia,food & beverages,linkedin.com/company/thedalucia,shah alam,the dalucia sdn bhd,selangor,11-50,thedalucia.com
malaysia,2017,emery-school-of-coffee,food & beverages,linkedin.com/company/emery-school-of-coffee,subang jaya,emery school of coffee,selangor,11-50,emeryschoolofcoffee.com
malaysia,2017,kintry,food & beverages,linkedin.com/company/kintry,kuala lumpur,kintry,kuala lumpur,1-10,kintry.com
malaysia,2017,fadiq,food & beverages,linkedin.com/company/fadiq,kuala lumpur,fadiq enterprise,kuala lumpur,1-10,instagram.com/nasidaunpisangfadiq
malaysia,2017,tudungdesaji,food & beverages,linkedin.com/company/tudungdesaji,shah alam,restoran nasi lemak royale team kedah alam budiman,selangor,1-10,facebook.com/tudungdesajiab
malaysia,2016,luxicon-coffee-lab,food & beverages,linkedin.com/company/luxicon-coffee-lab,klang,luxicon coffee lab,selangor,1-10,facebook.com/luxiconcoffee
malaysia,2016,chiu's,food & beverages,linkedin.com/company/chiu's,kota kinabalu,chiu's - the modern local,sabah,1-10,facebook.com/chius.my
malaysia,2016,fat-deb-bakes,food & beverages,linkedin.com/company/fat-deb-bakes,petaling jaya,fat deb bakes,selangor,1-10,instagram.com/fatdebbakes
malaysia,2016,k-fry,food & beverages,linkedin.com/company/k-fry,johor bahru,k fry,johor,201-500,kfry.my
malaysia,2016,foodvalet,food & beverages,linkedin.com/company/foodvalet,kuantan,food valet services sdn. bhd.,pahang,11-50,foodvalet.my
malaysia,2016,like-me-coffee,food & beverages,linkedin.com/company/like-me-coffee,petaling jaya,like me coffee,selangor,1-10,likemecoffee.com
malaysia,2016,wyandco,food & beverages,linkedin.com/company/wyandco,petaling jaya,wy & co.,selangor,51-200,
malaysia,2016,etani-oilpalm,food & beverages,linkedin.com/company/etani-oilpalm,shah alam,etani sdn bhd,selangor,11-50,espressobar.com.my
malaysia,2016,supplybunny,food & beverages,linkedin.com/company/supplybunny,petaling jaya,supplybunny,selangor,11-50,supplybunny.com
