name,locality,region,latitude,longitude,founded,size
vivacious kitchen,petaling jaya,selangor,3.1073,101.6067,2020, 1-10
wild food,petaling jaya,selangor,3.1073,101.6067,2020, 1-10
rage coffee,kuala lumpur,kuala lumpur,3.139,101.6869,2019, 1-10
halnex sdn bhd,bandar baru bangi,selangor,2.967,101.761,2019, 1-10
rebel pasta,petaling jaya,selangor,3.1073,101.6067,2019, 11-50
coffee star,kuala lumpur,kuala lumpur,3.139,101.6869,2019, 1-10
eatlah,shah alam,selangor,3.0738,101.5183,2019, 1-10
calli,petaling jaya,selangor,3.1073,101.6067,2019, 1-10
eatlah.co,petaling jaya,selangor,3.1073,101.6067,2019, 1-10
kong restobar,subang jaya,selangor,3.043,101.583,2018, 1-10
eatfun malaysia,kuala lumpur,kuala lumpur,3.139,101.6869,2018, 11-50
jollibee malaysia,kuala lumpur,kuala lumpur,3.139,101.6869,2018, 11-50
uniqorn,subang jaya,selangor,3.043,101.583,2018, 1-10
burger budget,klang,selangor,3.0433,101.4469,2018, 1-10
cultiveat,petaling jaya,selangor,3.1073,101.6067,2018, 11-50
lolol sdn bhd,batu berendam,melaka,2.254,102.254,2018, 11-50
district 9 cafe bar (m) sdn. bhd.,johor bahru,johor,1.4927,103.7414,2018, 11-50
kind kones,kuala lumpur,kuala lumpur,3.139,101.6869,2017, 11-50
mamasab international sdn. bhd.,petaling jaya,selangor,3.1073,101.6067,2017,51-200
foodtime,cyberjaya,selangor,2.9225,101.655,2017, 1-10
uncle ali the fishmonger,shah alam,selangor,3.0738,101.5183,2017, 1-10
hometaste official,petaling jaya,selangor,3.1073,101.6067,2017, 1-10
the great fundamentals,petaling jaya,selangor,3.1073,101.6067,2017,201-500
briyani on wheels,kuala lumpur,kuala lumpur,3.139,101.6869,2017, 1-10
food-connects,cyberjaya,selangor,2.9225,101.655,2017, 1-10
sweet tooth food & beverage sdn bhd,shah alam,selangor,3.0738,101.5183,2017, 1-10
the baking firm,shah alam,selangor,3.0738,101.5183,2017, 1-10
the dalucia sdn bhd,shah alam,selangor,3.0738,101.5183,2017, 11-50
emery school of coffee,subang jaya,selangor,3.043,101.583,2017, 11-50
kintry,kuala lumpur,kuala lumpur,3.139,101.6869,2017, 1-10
fadiq enterprise,kuala lumpur,kuala lumpur,3.139,101.6869,2017, 1-10
